product_id,name,category,brand,price,color,size
86,Product W7CW,Toys,Brand D,59.55,Green,M
87,Product DM6P,Home,Brand E,120.86,Black,M
88,Product QW37,Home,Brand D,131.03,Black,S
89,Product WA6D,Toys,Brand B,138.59,Red,XL
90,Product P0Y2,Electronics,Brand C,97.76,Red,XL
91,Product UX5W,Electronics,Brand D,101.13,White,XXL
92,Product UOI8,Home,Brand D,4.38,Green,
93,Product ZNX4,Clothing,Brand B,108.01,,L
94,Product 7YAI,Clothing,Brand B,55.76,Green,XL
95,Product 77NF,Clothing,Brand B,74.57,Black,L
96,Product PPP3,Clothing,Brand A,110.63,White,XXL
97,Product M9GE,Toys,Brand A,101.12,,XXL
98,Product V38F,Electronics,Brand A,148.76,Black,M
99,Product ZZIZ,Home,Brand B,124.52,Red,XL
100,Product LH80,Toys,Brand C,153.45,,
101,Product 8UIY,Home,Brand D,55.81,Green,M
102,Product XQY2,Books,Brand A,99.53,White,S
103,Product 7CG7,Home,Brand D,113.31,Black,L
104,Product GVMT,Home,Brand D,47.93,,XXL
105,Product 8LC8,Books,Brand A,116.31,Blue,
106,Product 4MQV,Books,Brand E,97.78,Black,XL
107,Product DSL2,Toys,Brand B,92.94,Green,XL
108,Product K144,Books,Brand C,93.39,Blue,L
109,Product 2AR0,Electronics,Brand D,122.02,Blue,XL
110,Product 4CZV,Home,Brand D,96.75,Blue,XL
111,Product K9ZG,Books,Brand B,58.09,White,L
112,Product 5EJF,Toys,Brand B,89.02,Green,S
113,Product YFNP,Toys,Brand A,124.25,White,XXL
114,Product K1Z3,Books,Brand C,23.65,,XXL
115,Product TQW4,Toys,Brand D,129.51,White,S
116,Product 3E29,Books,Brand D,87.75,Black,M
117,Product ZU5U,Toys,Brand B,90.13,White,L
118,Product GZXG,Home,Brand A,128.89,Blue,XL
119,Product XX4H,Home,Brand D,90.22,Green,M
120,Product 8TWG,Books,Brand A,48.05,Green,M
121,Product APJY,Books,Brand B,106.0,Blue,M
122,Product AN1J,Toys,Brand D,109.2,,S
123,Product 8DTQ,Books,Brand A,126.99,Blue,
124,Product LRE2,Clothing,Brand E,148.87,White,XL
125,Product YKZ1,Toys,Brand D,104.63,White,S
126,Product P7DR,Toys,Brand C,68.04,Red,S
127,Product OFJN,Electronics,Brand A,149.87,Red,XXL
128,Product 5BDS,Toys,Brand D,71.03,,XL
129,Product RO7Z,Home,Brand C,64.95,White,M
130,Product QG8J,Books,Brand B,25.81,Red,L
131,Product N6SU,Electronics,Brand A,95.13,Red,S
132,Product MW6M,Electronics,Brand D,130.87,Green,M
133,Product PI3U,Toys,Brand B,107.51,Blue,XL
134,Product G50N,Home,Brand A,134.7,,XL
135,Product QLQN,Books,Brand C,84.06,,S
136,Product GFHN,Toys,Brand C,48.76,Red,XXL
137,Product K7OM,Toys,Brand B,69.1,Red,
138,Product GUUL,Electronics,Brand C,127.81,Black,
139,Product HWD9,Toys,Brand E,124.07,Red,S
140,Product H0GZ,Toys,Brand A,110.63,,S
141,Product FE9E,Books,Brand B,138.23,,L
142,Product TA6E,Home,Brand B,92.23,Red,
143,Product P0AO,Books,Brand C,86.01,,M
144,Product ZGTL,Books,Brand A,38.54,Black,S
145,Product CVTA,Books,Brand C,115.47,,S
146,Product BJCH,Toys,Brand A,89.28,Blue,M
147,Product 7E8Q,Toys,Brand B,98.61,Red,XL
148,Product 1UD3,Books,Brand B,122.93,Blue,S
149,Product 0YGD,Clothing,Brand A,53.7,Blue,M
150,Product 8NBL,Toys,Brand D,64.26,,S
151,Product GZI8,Toys,Brand B,86.47,White,S
152,Product 8NBR,Home,Brand A,75.9,White,S
153,Product 7GL5,Toys,Brand C,80.35,White,S
154,Product IZG1,Toys,Brand B,120.5,Green,S
155,Product AXQ0,Electronics,Brand E,55.78,Blue,XL
156,Product SGL5,Clothing,Brand A,56.32,,S
157,Product ZGUQ,Home,Brand D,155.89,Blue,M
158,Product 5R6F,Home,Brand D,96.25,Green,
159,Product VS01,Home,Brand A,98.25,,
160,Product 6JVK,Toys,Brand D,134.93,Green,S
161,Product E3H6,Toys,Brand B,116.59,Blue,XXL
162,Product 0QO5,Clothing,Brand A,119.66,Green,S
163,Product A1NV,Toys,Brand D,102.62,Red,XXL
164,Product H8EL,Books,Brand B,101.46,Black,
165,Product FWSD,Electronics,Brand E,101.15,White,M
166,Product ST6M,Clothing,Brand D,137.14,Green,M
167,Product 6KB2,Home,Brand B,114.81,Blue,XL
168,Product X477,Electronics,Brand A,123.77,,S
169,Product RNOM,Clothing,Brand C,107.56,Blue,
170,Product 6XEW,Electronics,Brand B,152.59,Red,M
171,Product 0DH6,Electronics,Brand E,95.19,Blue,L
172,Product PJWJ,Home,Brand D,105.28,Red,S
173,Product ULO8,Clothing,Brand C,110.2,White,S
174,Product UGVT,Home,Brand A,42.34,,
175,Product T7TG,Books,Brand E,132.84,White,
176,Product A75N,Clothing,Brand A,41.48,Blue,
177,Product UE3A,Electronics,Brand C,113.04,,L
178,Product 8QZB,Toys,Brand E,110.58,Green,XXL
179,Product LWHE,Books,Brand A,82.3,,S
180,Product 6Y5L,Toys,Brand E,98.04,Green,
181,Product 6V5Q,Toys,Brand B,137.81,Green,XL
182,Product M9M8,Clothing,Brand A,59.99,Black,
183,Product UWER,Clothing,Brand C,84.69,Red,XL
184,Product MSHE,Electronics,Brand A,88.85,White,XL
185,Product F8J9,Toys,Brand B,108.96,Red,XXL
186,Product VNOO,Electronics,Brand E,137.31,Blue,L
187,Product TTQ6,Home,Brand E,159.08,Red,L
188,Product XBAV,Home,Brand D,116.92,,M
189,Product 2D70,Electronics,Brand A,75.52,Blue,L
190,Product G6O6,Toys,Brand A,101.53,Black,M
191,Product QW9R,Toys,Brand A,77.36,White,XL
192,Product L6B9,Clothing,Brand B,84.88,Red,XXL
193,Product ORZG,Home,Brand A,108.97,Green,XL
194,Product PT3N,Toys,Brand D,132.32,White,XXL
195,Product XTEI,Electronics,Brand D,98.05,,M
196,Product 82TZ,Clothing,Brand C,86.72,,M
197,Product D4F7,Home,Brand D,109.89,Blue,
198,Product K97Z,Home,Brand C,87.12,White,XXL
199,Product HMGG,Electronics,Brand B,102.49,Blue,
200,Product ZYS9,Home,Brand A,44.13,Green,L
201,Product WU3K,Books,Brand D,125.13,White,XL
202,Product 0GL0,Toys,Brand B,101.28,,XL
203,Product P49M,Toys,Brand A,84.8,White,S
204,Product ELPT,Electronics,Brand B,126.09,Red,
205,Product E9KZ,Toys,Brand A,124.21,Blue,
206,Product 0XQ1,Clothing,Brand D,98.44,Blue,
207,Product DZ0F,Electronics,Brand A,78.78,Black,XL
208,Product TFLJ,Books,Brand D,122.58,,XL
209,Product VCCY,Home,Brand B,72.13,Black,S
210,Product TWL1,Clothing,Brand A,111.75,White,L
211,Product H7AP,Clothing,Brand D,128.3,Black,
212,Product 437V,Electronics,Brand A,84.38,,M
213,Product C1NV,Home,Brand E,97.24,Blue,XL
214,Product CCDK,Toys,Brand C,69.82,Red,
215,Product 1PCA,Clothing,Brand D,119.53,White,S
216,Product SQ1Z,Toys,Brand C,95.53,Blue,XXL
217,Product VMIL,Books,Brand C,99.23,Green,S
218,Product 9OY7,Clothing,Brand B,109.21,Red,M
219,Product ZEMV,Electronics,Brand D,151.95,White,XL
220,Product PHI4,Toys,Brand E,111.73,Blue,L
221,Product JM03,Toys,Brand E,85.56,Black,XL
222,Product 9A61,Clothing,Brand D,133.58,White,S
223,Product 6WW2,Home,Brand E,78.31,Black,L
224,Product JYS0,Clothing,Brand A,116.53,,S
225,Product TQ1B,Clothing,Brand C,126.75,Blue,XXL
226,Product CYAW,Toys,Brand E,105.57,Green,L
227,Product V1AU,Toys,Brand D,118.05,,S
228,Product RWNQ,Clothing,Brand E,149.36,Red,S
229,Product O2OL,Clothing,Brand D,130.94,Black,L
230,Product DWTL,Home,Brand A,127.18,Red,XXL
231,Product 9J8T,Electronics,Brand A,157.38,Blue,L
232,Product 5DFU,Clothing,Brand C,71.15,White,
233,Product GOI5,Electronics,Brand E,99.97,Blue,L
234,Product UXGQ,Home,Brand B,60.38,Green,L
235,Product 7PB9,Clothing,Brand B,116.92,Red,
236,Product DQ8I,Home,Brand B,140.14,White,M
237,Product HO44,Toys,Brand D,121.35,Blue,S
238,Product F56B,Clothing,Brand B,117.97,White,XL
239,Product 6S5M,Clothing,Brand A,84.12,Green,XL
240,Product 6X0B,Electronics,Brand A,70.92,,XL
241,Product J5XU,Clothing,Brand B,129.87,Green,XL
242,Product SAQ6,Clothing,Brand B,72.98,Blue,M
243,Product UG7T,Toys,Brand C,97.94,Blue,M
244,Product 8D9H,Clothing,Brand C,113.4,,L
245,Product 64CD,Clothing,Brand B,114.25,Blue,XL
246,Product AKSL,Toys,Brand A,84.27,Red,S
247,Product IG1N,Toys,Brand B,96.52,Red,L
248,Product 9Q64,Clothing,Brand A,115.21,Black,XL
249,Product J9FZ,Books,Brand E,50.91,White,
250,Product TIQB,Home,Brand C,106.17,Blue,
251,Product 31IL,Clothing,Brand E,108.58,Red,XXL
252,Product KH3J,Clothing,Brand A,79.11,Green,XL
253,Product AJDA,Clothing,Brand B,110.73,Red,M
254,Product CEZ6,Home,Brand A,136.29,Black,L
255,Product TVNP,Books,Brand E,79.27,Black,XL
256,Product WT3F,Home,Brand B,90.88,,S
257,Product PV3Z,Toys,Brand A,111.69,White,L
258,Product M9KR,Books,Brand B,122.08,Black,XXL
259,Product 2HLP,Clothing,Brand E,76.11,Blue,M
260,Product W3OX,Home,Brand A,132.7,,S
261,Product HO4M,Home,Brand D,98.13,Black,S
262,Product VM16,Books,Brand E,101.99,,XL
263,Product UUOI,Books,Brand D,91.64,Red,S
264,Product QXKQ,Clothing,Brand D,103.8,Black,XXL
265,Product JIFC,Home,Brand E,118.99,Green,XL
266,Product MKNO,Books,Brand C,64.82,,L
267,Product UPWV,Clothing,Brand E,112.86,Green,S
268,Product 62NS,Toys,Brand E,113.92,White,
269,Product D6M2,Toys,Brand E,121.63,Green,L
270,Product 3CHJ,Books,Brand D,115.47,Green,
271,Product TJQ9,Books,Brand B,98.39,White,XL
272,Product 95YR,Electronics,Brand D,104.78,Green,XL
273,Product DMST,Home,Brand A,112.17,,XL
274,Product 6FHU,Books,Brand E,126.42,Red,M
275,Product SJ5B,Books,Brand C,98.78,White,XXL
276,Product HDXP,Electronics,Brand B,77.4,,L
277,Product 23JR,Clothing,Brand C,103.43,,S
278,Product Z0AB,Toys,Brand D,107.98,,XL
279,Product 88BZ,Toys,Brand D,108.62,,XXL
280,Product 2GJI,Toys,Brand E,138.26,White,
281,Product UKZ9,Toys,Brand D,153.06,Blue,
282,Product V5RM,Home,Brand A,84.61,Blue,XL
283,Product J19Y,Toys,Brand B,161.43,Blue,XXL
284,Product N8M1,Books,Brand E,128.63,,XL
285,Product I884,Clothing,Brand D,127.87,Black,
286,Product J0QW,Clothing,Brand A,125.14,Red,
287,Product WLL9,Electronics,Brand D,108.72,Green,S
288,Product W1XC,Books,Brand B,86.37,Red,L
289,Product 2DOT,Books,Brand C,131.87,,XXL
290,Product FOG2,Home,Brand E,91.54,White,L
291,Product WYNR,Clothing,Brand E,144.51,Blue,M
292,Product EWIK,Books,Brand A,119.64,,XXL
293,Product DJYY,Electronics,Brand D,102.2,Blue,
294,Product 3WWH,Clothing,Brand B,68.17,White,
295,Product UVWC,Clothing,Brand E,142.13,Blue,XL
296,Product II3Y,Home,Brand B,96.43,Blue,M
297,Product 73CR,Clothing,Brand B,80.67,Blue,XL
298,Product KU21,Books,Brand D,154.59,,L
299,Product L3GD,Home,Brand C,95.45,,XL
300,Product LXK7,Electronics,Brand A,133.2,Black,XL
301,Product M7UH,Books,Brand E,81.25,Black,L
302,Product T8VJ,Electronics,Brand D,92.42,White,XL
303,Product 35NZ,Books,Brand B,85.58,Blue,M
304,Product 85UG,Electronics,Brand B,96.43,Red,XXL
305,Product WKPN,Clothing,Brand E,109.18,Red,XXL
306,Product 23U3,Electronics,Brand B,113.89,Green,XL
307,Product C758,Toys,Brand B,80.98,Red,M
308,Product HBGL,Toys,Brand B,60.56,,L
309,Product DHME,Electronics,Brand E,117.21,Red,XXL
310,Product 13TJ,Books,Brand E,120.91,,
311,Product G1YX,Home,Brand B,76.68,Black,S
312,Product U52W,Toys,Brand A,67.03,,XL
313,Product QNIX,Books,Brand E,80.89,Black,S
314,Product OUZN,Home,Brand D,144.71,White,M
315,Product PCKH,Home,Brand A,133.93,Black,XXL
316,Product TI6E,Books,Brand B,83.81,Red,
317,Product K2M7,Electronics,Brand E,139.51,,S
318,Product OVNM,Books,Brand E,73.42,Black,XL
319,Product 6IY4,Books,Brand C,47.41,Red,L
320,Product 4I9Z,Clothing,Brand A,97.73,,M
321,Product XYFV,Clothing,Brand B,120.88,White,XXL
322,Product RRYA,Electronics,Brand A,132.85,White,M
323,Product KNPF,Toys,Brand B,91.81,Green,XXL
324,Product T904,Electronics,Brand C,102.86,Red,S
325,Product W0TM,Books,Brand D,130.63,Red,M
326,Product RQTZ,Books,Brand E,149.87,White,L
327,Product GFG8,Toys,Brand A,136.05,,M
328,Product NBGM,Electronics,Brand A,84.11,White,M
329,Product 4RTF,Home,Brand D,110.35,,XL
330,Product 6ZS7,Toys,Brand B,103.75,,XL
331,Product A94P,Books,Brand D,121.26,White,
332,Product JDO0,Clothing,Brand D,76.55,,M
333,Product 56P2,Home,Brand E,127.23,Black,L
334,Product TKDD,Electronics,Brand B,122.3,Black,S
335,Product CA63,Toys,Brand C,103.82,Black,XXL
336,Product 2LE3,Electronics,Brand A,91.51,,L
337,Product A956,Clothing,Brand A,100.58,,L
338,Product KQML,Home,Brand B,55.28,White,S
339,Product EIZL,Books,Brand D,145.06,Green,L
340,Product 0KSU,Electronics,Brand B,71.35,Blue,M
341,Product KJKL,Electronics,Brand A,117.04,Black,XXL
342,Product BMIR,Home,Brand A,41.46,Blue,XXL
343,Product W7OQ,Electronics,Brand D,126.54,Green,M
344,Product K8TU,Clothing,Brand D,141.76,,
345,Product MX8W,Electronics,Brand A,61.0,Blue,XXL
346,Product 9BUX,Home,Brand D,132.75,Blue,S
347,Product U5ON,Toys,Brand A,165.05,White,
348,Product 75GT,Books,Brand E,74.83,Red,L
349,Product SUSD,Clothing,Brand A,81.39,Blue,
350,Product PCS7,Electronics,Brand E,53.24,White,XL
351,Product LG26,Clothing,Brand A,31.0,White,S
352,Product 8QYK,Books,Brand B,102.49,Black,M
353,Product MXKO,Electronics,Brand E,115.27,Green,XXL
354,Product 8XY3,Toys,Brand C,113.19,Red,L
355,Product Z9IP,Home,Brand C,115.27,,M
356,Product VKZX,Books,Brand B,103.72,Blue,L
357,Product WRNW,Clothing,Brand D,104.86,Red,XXL
358,Product S4OV,Electronics,Brand D,71.69,White,
359,Product 3DMX,Clothing,Brand A,104.85,,
360,Product PY4C,Toys,Brand A,91.0,Green,L
361,Product RNO4,Toys,Brand C,140.51,Blue,M
362,Product P69O,Home,Brand A,129.76,,M
363,Product PCW7,Books,Brand C,130.49,Red,M
364,Product KNAO,Home,Brand A,17.42,Green,S
365,Product 59SE,Books,Brand A,136.39,Black,XXL
366,Product STFN,Toys,Brand E,85.55,Red,S
367,Product BKYV,Books,Brand D,69.41,Green,S
368,Product MX20,Clothing,Brand C,82.45,Blue,
369,Product FR5D,Electronics,Brand A,69.06,Blue,
370,Product CCD2,Electronics,Brand C,126.89,Red,L
371,Product FF44,Clothing,Brand E,80.51,Blue,M
372,Product ETDE,Clothing,Brand D,61.82,Red,XL
373,Product GT7U,Home,Brand A,39.84,Green,S
374,Product 6RZR,Books,Brand C,109.12,,M
375,Product 3Y3D,Home,Brand B,64.57,Red,S
376,Product NQVM,Electronics,Brand B,107.82,,
377,Product W88J,Clothing,Brand B,125.49,White,M
378,Product 7ZXO,Toys,Brand D,84.89,Green,S
379,Product J7ZZ,Toys,Brand E,122.6,,M
380,Product 1ZC0,Books,Brand C,93.54,White,XXL
381,Product STW5,Clothing,Brand D,112.86,Blue,S
382,Product BXZ9,Clothing,Brand E,82.98,White,M
383,Product 8F2E,Electronics,Brand D,115.37,,M
384,Product X1XB,Clothing,Brand A,148.57,Red,S
385,Product WI20,Books,Brand E,78.24,Blue,XL
386,Product QQPO,Clothing,Brand C,63.8,Red,XL
387,Product T7K1,Toys,Brand D,113.41,,XL
388,Product HAC1,Clothing,Brand E,65.65,,XL
389,Product 4692,Home,Brand C,107.67,Blue,S
390,Product BY3X,Toys,Brand D,100.49,Red,XL
391,Product 9GZZ,Toys,Brand D,88.11,,M
392,Product UQSQ,Toys,Brand E,101.67,White,XL
393,Product 9U9J,Clothing,Brand D,131.66,White,
394,Product XRVW,Toys,Brand D,76.26,Blue,XL
395,Product S5EX,Toys,Brand D,126.03,Blue,
396,Product D9MR,Electronics,Brand B,110.28,Red,XL
397,Product BPD0,Books,Brand D,91.4,,M
398,Product 36K0,Electronics,Brand D,87.21,White,XL
399,Product 3712,Home,Brand A,126.59,,
400,Product 02CV,Toys,Brand D,122.3,Black,S
401,Product CHKZ,Clothing,Brand C,71.3,Blue,XL
402,Product OSCG,Electronics,Brand B,84.26,Green,
403,Product MOZ6,Books,Brand D,132.25,Blue,XL
404,Product XL0H,Electronics,Brand E,119.12,White,L
405,Product 4X1F,Toys,Brand D,114.92,,XL
406,Product 263X,Electronics,Brand E,170.82,Blue,
407,Product KARE,Books,Brand E,105.82,Green,M
408,Product 5MFJ,Home,Brand A,100.67,Black,XXL
409,Product 3OS1,Electronics,Brand D,79.95,White,XXL
410,Product 2YA8,Electronics,Brand A,111.96,,
411,Product GMLI,Books,Brand B,82.38,,M
412,Product G2EV,Home,Brand E,113.33,Green,XXL
413,Product 2PFV,Clothing,Brand A,103.28,Black,XXL
414,Product 3128,Toys,Brand D,93.26,White,XXL
415,Product AP6K,Electronics,Brand B,80.14,White,XL
416,Product JHBB,Books,Brand C,85.9,Blue,L
417,Product X5MY,Electronics,Brand C,58.86,,S
418,Product E55H,Toys,Brand C,45.51,Red,
419,Product 4HXL,Electronics,Brand C,123.74,Green,XXL
420,Product AQLQ,Toys,Brand A,121.13,Green,
421,Product UCCJ,Home,Brand B,138.1,Red,S
422,Product JWPY,Clothing,Brand A,77.88,Red,S
423,Product FJKF,Electronics,Brand C,115.68,Red,XL
424,Product ROQF,Home,Brand D,130.24,,
425,Product 09GS,Clothing,Brand E,47.49,White,
426,Product MZKA,Home,Brand E,148.8,White,XXL
427,Product 9G41,Home,Brand E,86.18,Black,M
428,Product Q973,Toys,Brand C,108.61,White,L
429,Product J4M5,Electronics,Brand B,59.6,Red,
430,Product IHOB,Toys,Brand E,192.7,Blue,XXL
431,Product 8E0J,Clothing,Brand E,84.84,Black,XL
432,Product XDVG,Books,Brand B,103.47,Black,XL
433,Product U0TI,Books,Brand A,35.56,,L
434,Product 2Y06,Clothing,Brand B,105.14,Blue,S
435,Product IDSG,Home,Brand D,110.28,Green,XL
436,Product I2EZ,Books,Brand C,111.79,Green,S
437,Product MGX0,Electronics,Brand C,102.83,Blue,S
438,Product 0XG2,Clothing,Brand E,110.07,Black,L
439,Product XVYS,Books,Brand C,64.97,Black,L
440,Product 0D2P,Toys,Brand D,111.2,Blue,XXL
441,Product 6T8Z,Clothing,Brand D,54.7,Black,M
442,Product YT13,Clothing,Brand E,75.56,Black,M
443,Product IR2Y,Clothing,Brand B,123.35,Black,XL
444,Product 1EP0,Home,Brand B,101.28,Red,M
445,Product BUNN,Home,Brand A,40.12,Green,XL
446,Product J8X1,Electronics,Brand E,63.21,Green,
447,Product PK4S,Home,Brand B,100.89,Red,S
448,Product YLJK,Clothing,Brand D,40.79,,XL
449,Product YG58,Books,Brand E,151.39,,S
450,Product YAUR,Home,Brand E,84.53,Red,L
451,Product RMYF,Books,Brand E,118.94,,XXL
452,Product BGS8,Clothing,Brand A,120.07,Black,XL
453,Product PGQX,Toys,Brand D,85.61,,
454,Product 3MEN,Books,Brand B,89.5,Red,
455,Product OWOJ,Electronics,Brand D,101.36,Blue,
456,Product DEDH,Home,Brand D,95.53,White,
457,Product 8EZE,Toys,Brand E,46.07,White,L
458,Product 6D56,Books,Brand B,94.05,Green,M
459,Product H95H,Clothing,Brand D,101.38,Green,L
460,Product 2131,Toys,Brand D,103.69,Green,M
461,Product DUAL,Books,Brand E,77.27,Green,
462,Product 8FG5,Electronics,Brand D,91.45,,XL
463,Product WJCZ,Electronics,Brand A,37.3,,
464,Product TW6I,Clothing,Brand A,120.72,Red,S
465,Product MTC2,Home,Brand B,86.16,Blue,S
466,Product 08EI,Clothing,Brand E,102.92,Black,
467,Product A5BD,Electronics,Brand A,0.0,Red,XL
468,Product IASK,Books,Brand C,46.97,Green,L
469,Product 3ZJZ,Toys,Brand C,78.21,White,XL
470,Product CXTB,Electronics,Brand D,102.39,Blue,XXL
471,Product H0XF,Electronics,Brand C,96.14,Red,M
472,Product 4OFC,Electronics,Brand E,122.16,Black,L
473,Product PCDC,Clothing,Brand C,101.73,Black,M
474,Product BE47,Home,Brand E,134.72,,L
475,Product JR15,Toys,Brand C,135.0,White,L
476,Product C5CA,Electronics,Brand A,97.64,Blue,S
477,Product QG5Q,Toys,Brand E,62.94,Blue,S
478,Product Q9G5,Clothing,Brand B,110.1,Red,S
479,Product 1B74,Clothing,Brand E,54.98,Black,XXL
480,Product 0AVN,Books,Brand D,130.21,White,XL
481,Product DG2D,Home,Brand C,82.72,Red,S
482,Product FSQG,Clothing,Brand E,97.8,White,XL
483,Product 8ZGS,Home,Brand A,83.93,White,L
484,Product FRDN,Clothing,Brand B,116.39,White,XL
485,Product 8IAA,Toys,Brand C,97.88,,L
486,Product MI6E,Books,Brand E,109.17,White,M
487,Product NRVP,Books,Brand B,82.12,,
488,Product 38PK,Electronics,Brand E,84.97,,M
489,Product 7ZOZ,Clothing,Brand E,92.02,White,XL
490,Product 7S9J,Toys,Brand C,103.68,Green,S
491,Product RQZL,Clothing,Brand D,141.44,,XXL
492,Product ZP5M,Clothing,Brand D,84.18,White,XXL
493,Product DPCA,Clothing,Brand D,69.32,Black,XL
494,Product UDCO,Home,Brand C,92.7,,S
495,Product 06BU,Clothing,Brand B,78.52,Green,L
496,Product BFS5,Electronics,Brand C,70.17,Black,L
497,Product NPE7,Books,Brand A,84.33,,XXL
498,Product YNH1,Home,Brand D,83.59,Red,XL
499,Product HJHE,Home,Brand B,117.12,White,XL
500,Product 63VX,Toys,Brand D,124.78,Green,M
501,Product O7FF,Clothing,Brand B,87.4,Green,XXL
502,Product 3BZF,Books,Brand A,151.58,Black,M
503,Product 8PXW,Clothing,Brand A,47.05,Black,L
504,Product 2TPE,Home,Brand A,125.11,,XL
505,Product AUD5,Books,Brand B,92.39,Red,S
506,Product V1TE,Books,Brand A,136.39,Black,L
507,Product EEQO,Home,Brand E,112.38,Red,XXL
508,Product HPSN,Home,Brand B,191.65,White,XL
509,Product ECI7,Home,Brand E,111.75,White,
510,Product M1AT,Electronics,Brand B,50.51,Green,
511,Product 5L60,Books,Brand E,89.58,Green,
512,Product 192X,Books,Brand D,90.52,Red,XXL
513,Product 3EG0,Electronics,Brand C,161.01,White,L
